cta_per,cta_id,(No column name),(No column name),total
1509,2791939,PTM,1,5663.75
1562,2252001,PTM,275,6157.19
1782,2318240,PTM,12,5713.54
1876,2839837,PTM,9,6511.81
2237,2969604,PTM,6,3202.83
2369,2422458,PTM,9,4425.56
2413,2581461,PTM,3,4386.63
2496,2736641,PTM,9,2074.74
2541,3078291,PTM,6,8150.36
2649,2817154,PTM,6,5609.63
2764,2667233,PTM,6,2307.07
2888,2807800,PTM,9,8265.65
3140,2899198,PTM,6,1630.17
3272,2776241,PTM,3,5238.09
3450,2512537,PTM,3,7332.30
3451,2814429,PTM,9,1561.48
3596,2596608,PTM,1,5575.80
3630,2666199,PTM,1,5751.12
3687,2520994,PTM,1,6092.34
3691,2790284,PTM,105,6049.72
3698,2697741,PTM,1,2966.16
3744,2694755,PTM,3,8633.30
3785,2638495,PTM,1,2360.94
3856,2590866,PTM,3,2032.28
3859,2702939,PTM,9,1911.64
3904,2814354,PTM,9,2326.80
3972,3145103,PTM,7,2453.63
3997,2407734,PTM,6,10337.58
4005,2408298,PTM,6,2533.61
4031,2656881,PTM,12,5011.24
4131,2603370,PTM,12,5537.99
4281,2427174,PTM,6,19177.43
4302,2628558,PTM,12,2880.35
4356,2822534,PTM,11,7516.17
4371,2728057,PTM,12,2276.17
4450,3001208,PTM,105,939.52
4555,2784815,PTM,12,2327.20
4660,2950639,PTM,1,21734.01
4662,2584588,PTM,3,2054.59
4696,3003292,PTM,19,4750.59
4781,2969418,PTM,3,1841.26
4794,2711930,PTM,6,15472.82
4932,2059303,PTM,3,6011.94
4932,2989079,PTM,1,9731.07
5097,2717962,PTM,12,98123.05
5105,2725145,PTM,12,18605.43
5118,2468019,PTM,6,8662.29
5149,3029016,PTM,46,2310.87
5194,2794509,PTM,9,5248.63
5245,2603974,PTM,12,2575.80
5444,2597160,PTM,1,1582.51
5523,2730244,PTM,9,1468.35
5565,2977112,PTM,6,3714.99
5640,2773004,PTM,6,5745.14
5767,2642462,PTM,65,2631.55
5830,2786404,PTM,9,2567.80
5830,2943248,PTM,6,1033.60
5952,2521879,PTM,9,4493.30
6149,2452271,PTM,6,2033.80
6238,2508160,PTM,3,5197.37
6302,2189150,PTM,3,3093.73
6313,2706108,PTM,1,840.71
6411,2837455,PTM,1,8570.41
6552,3024654,PTM,9,8464.16
6588,2625543,PTM,9,2004.50
6622,3099279,PTM,12,8375.78
6675,2970854,PTM,4,3415.10
6688,3132101,PTM,6,1568.31
6790,2888522,PTM,6,4101.62
6837,2880427,PTM,1,4056.09
6896,2536838,PTM,1,2095.35
6927,2763016,PTM,90,3344.53
6955,2837390,PTM,9,953.03
6962,2987317,PTM,6,2864.88
7040,2965261,PTM,3,1737.58
7111,2657718,PTM,9,2285.42
7307,2842722,PTM,12,19155.25
7362,2537987,PTM,9,3773.83
7402,2165733,PTM,1,5098.90
7404,2719584,PTM,115,2867.45
7413,2387779,PTM,3,7736.41
7433,2523891,PTM,460,5563.90
7537,2743207,PTM,105,1764.19
